clinical_trial	gender	ethnicity	brief_title	initial_data_release_version_number	program_name	latest_data_release_version	arm_name	lab_test_panel_count	assay_method_count	clinicaltrials_link	pubmed_id	age_range	planned_visit_total_count	arm_accession	minimum_age	has_lab_test	latest_data_release_date	gender_included	analyte_preferred_count	maximum_age	research_focus	contract_grant_external_id	latest_data_release_version_number	race	actual_enrollment	initial_data_release_date	brief_description	biosample_type	shared_subject_count	max_age	study_accession	contract_grant_name	study_pi	species	initial_data_release_version	condition_or_disease	has_assessment	assessment_panel_count	age_unit	assay_method	min_age	doi
N	Female;Unknown;Male	Not Hispanic or Latino;Other;Hispanic or Latino	Systems Biology of 2007 Influenza Vaccination in Humans (See companion studies SDY269 2008 / SDY270 2009 / SDY271 Role for CaMKIV in the Regulation of Antibody Responses to Influenza Vaccine)	2.0	Human Immunology Project Consortium (HIPC) RFA-AI-14-007, RFA-AI-09-040;NIAID Centers of Excellence for Influenza Research and Surveillance (CEIRS)	DR52.1	LAIV group 2007;TIV Group 2007		Flow Cytometry (4);Hemagglutination Inhibition (54);Q-PCR (27);Transcription profiling by array (27)		21743478;26682988	0.0-46.0	5	ARM456;ARM457	    .00	N	2024-07-25	Female, Male, Unknown	CD19 (4);CD27 (4);CD38 (4)	  46.00	Vaccine Response	AI090023;HHSN266200700006C	52.1	White;Unknown;Black or African American	12	2013-06-12	Using a systems biology approach to study innate and adaptive responses to influenza vaccination in humans during the 2007-2008 influenza season.	PBMC;Plasma;Whole blood	SDY269 (6);SDY270 (6)	46.0	SDY61	Influenza Pathogenesis & Immunology Research Center (IPIRC);Systems Biological Analysis of Innate and Adaptive Responses to Vaccination RFA-AI-14-007	Bali Pulendran: Emory Vaccine Center, Emory University	Homo sapiens	DR2	influenza	N		Years	Transcription profiling by array;Hemagglutination Inhibition;Flow Cytometry;Q-PCR	0.0	10.21430/M3FH0SA2W0
N			Evaluation of SARS-CoV-2-Specific T-Cell Activation with a Rapid On-Chip IGRA	51.2	SeroNet	DR51.2	Unvaccinated participants;Vaccinated adults;Suspected or confirmed SARS-CoV-2 cases		ELISA (0);ELISPOT (0);Flow Cytometry (0)		36595218	0.0-89.0	3	ARM9186;ARM9184;ARM9185	0	N	2024-05-23			89	Method Development	U54CA260581	51.2			2024-05-23	To evaluate SARS-CoV-2-Specific T-Cell Activation using a newly developed microfluidic ELISpot IGRA test			89.0	SDY2637	Longitudinal Analyses of Antibody Responses to SARS-CoV-2	Stacy Drury: Tulane University;Kevin Zwezdaryk: Tulane University;Elizabeth Norton: Tulane University		DR51.2	COVID-19	N		Years	ELISA;Flow Cytometry;ELISPOT	0.0	10.21430/M35FH8NSOD
N	Male;Female	Not Hispanic or Latino;Hispanic or Latino	CMV CD8 T Cells	22.0	NIAID Investigator Initiated Program Project Applications (P01) PAR-16-413, PAR-13-254	DR31	CMV seropositive donors		Flow Cytometry (342)		28130404	21.0-70.0	1	ARM3654	  21.00	N	2019-06-19	Female, Male	CCR7 (342);CD103 (46);CD107a (94);CD127 (136);CD19 (171);CD223 (20);CD28 (132);CD3 (342);CD4 (342);CD45RA (333);CD45RO (103);CD57 (110);CD69 (146);CD8 (342);CD95 (320);IFNG (103);IL2 (103);Ki67 (68);PD1 (113);Perforin (68);TNFA (103)	  70.00	Immune Response	AI106697	31.0	White;Black or African American;Asian;Not Specified	20	2017-06-16	An analysis of human cytomegalovirus (CMV)-specific T cell responses and CMV persistence in multiple anatomic sites including blood, lymphoid, mucosal and secretory tissues of CMV-seropositive donors.	Lung lymph node;Bone;Spleen;Salivary Glands;Bone Marrow;Tonsil;Not Specified;PBMC;Lung;Colon;Mesenteric lymph node;Inguinal lymph node	SDY702 (3);SDY1097 (3);SDY1290 (10);SDY1389 (2);SDY1885 (3)	70.0	SDY1041	Tissue compartmentalization of human lymphocytes	Donna Farber: Columbia University	Homo sapiens	DR22	Cytomegaloviral Infection	N		Years	Flow Cytometry	21.0	10.21430/M3MIPLU7ZU
N	Unknown	Not Specified	Comparative analysis of neonatal and adult immune responses after in vitro rhinovirus stimulation	23.0	Asthma and Allergic Diseases Cooperative Research Centers (AADCRC) RFA-AI-12-006	DR23	Healthy adults;Full term infants		Flow Cytometry (56)		29045416	0.0-70.0	1	ARM3940;ARM3939	0	N	2017-09-29	Unknown	B7-2 (24);CD11c (56);CD123 (88);CD14 (56);CD19 (24);CD40 (24);HLADR (56);IFNA (32);IL12p40 (32);IL6 (32);TNFA (32)	70	Immune Response	AI104317	23.0	Not Specified	17	2017-09-29	Rhinovirus infections during infancy account for the majority of respiratory illness health care utilization and are an associated risk factor for subsequent development of allergic asthma. Neonatal type I interferon production is diminished compared to adults after stimulation with TLR agonists. However, broad profiling of immune cell responses to infectious rhinovirus has not been undertaken and we hypothesized that additional immune differences can be identified in neonates. Rhinovirus infections during infancy account for the majority of respiratory illness health care utilization and are an associated risk factor for subsequent development of allergic asthma. Neonatal type I interferon production is diminished compared to adults after stimulation with TLR agonists. However, broad profiling of immune cell responses to infectious rhinovirus has not been undertaken and we hypothesized that additional immune differences can be identified in neonates.	PBMC		70.0	SDY1115	Mechanisms and Enviromental Determinants of Rhinovirus Illness Severity (RFA-AI-12-006)	Christine Seroogy: Department of Pediatrics, University of Wisconsin School of Medicine and Public Health	Homo sapiens	DR23	Aging	N		Years	Flow Cytometry	0.0	10.21430/M3IR2J7XWW
N	Male		Lifespan-extending caloric restriction or mTOR inhibition impair adaptive immunity of old mice by distinct mechanisms.	15.0	Protective Immunity in Special Populations	DR15	Goldberg_AgingCell_2015_Old_CR;Goldberg_AgingCell_2015_Old;Goldberg_AgingCell_2015_Adult;Goldberg_AgingCell_2015_Old_Rapa		ELISA (0);Flow Cytometry (0);Q-PCR (0)		25424641	0.33-1.5	1	ARM2902;ARM2903;ARM2901;ARM2904	   4.00	N	2015-09-18	Male		  18.00	Immune Response	HHSN272201100017C 	15.0		10	2015-09-18	Aging of the world population and a concomitant increase in age-related diseases and disabilities mandates the search for strategies to increase healthspan, the length of time an individual lives healthy and productively. Due to the age-related decline of the immune system, infectious diseases remain among the top 5-10 causes of mortality and morbidity in the elderly, and improving immune function during aging remains an important aspect of healthspan extension. Calorie restriction (CR) and more recently rapamycin (rapa) feeding have both been used to extend lifespan in mice. Preciously few studies have actually investigated the impact of each of these interventions upon in vivo immune defense against relevant microbial challenge in old organisms. We tested how rapa and CR each impacted the immune system in adult and old mice. We report that each intervention differentially altered T-cell development in the thymus, peripheral T-cell maintenance, T-cell function and host survival after West Nile virus infection, inducing distinct but deleterious consequences to the aging immune system. We conclude that neither rapa feeding nor CR, in the current form/administration regimen, may be optimal strategies for extending healthy immune function and, with it, lifespan.			1.5	SDY654	Immunological basis of age-related vulnerability in biodefense and emerging infections SP2 UAz	Janko Nikolich-Zugich: University of Arizona;Emily Goldberg: University of Arizona	Mus musculus	DR15	Aging	N		Months	ELISA;Q-PCR;Flow Cytometry	0.33	10.21430/M33E7TCYXT
N	Female;Male	Hispanic or Latino;Not Hispanic or Latino	Age-related alterations in innate immune responses (See companion study SDY736)	16.0	Protective Immunity in Special Populations	DR19	Adult;Old	Hematology test (915)	ELISA (96);Flow Cytometry (408);Luminex xMAP (447);Transcription profiling by array (192)		25728020	21.36-86.58	2	ARM3029;ARM3030	  21.36	Y	2016-06-17	Female, Male	BDCA1 (42);BDCA2, CD303 (42);BDCA3 (42);CCL1 (96);CCL15 (96);CCL21 (96);CCL22 (96);CCL24 (96);CCL26 (96);CCL8 (96);CD11c (222);CD14 (258);CD154 (96);CD16 (258);CD19 (300);CD283 (20);CD284 (20);CD3 (408);CD4 (108);CD40 (24);CSF3 (96);CTACK (96);CXCL12 (96);CXCL13 (96);CXCL5 (96);CXCL9 (132);EGF (96);Eotaxin (96);FGFB (96);FLT3 (96);FRACTALKINE (96);GMCSF (96);GRO (96);HLADR (42);IFNA2 (192);IFNG (219);IL10 (219);IL12p40 (96);IL12p70 (96);IL13 (96);IL15 (96);IL16 (96);IL17A (219);IL1A (96);IL1B (96);IL1R1 (96);IL2 (219);IL20 (96);IL21 (96);IL23A (96);IL28A (96);IL3 (96);IL33 (96);IL4 (219);IL5 (96);IL6 (219);IL7 (96);IL8 (228);IL9 (96);IP-10 (228);KITLG (96);LIF (96);MCP1 (132);MCP3 (96);MCP4 (96);MIP1A (96);MIP1B (96);PDL2 (148);RANTES (132);TARC (96);TGFA (96);THPO (96);TLR7 (14);TNFA (219);TNFB (96);TRAIL (96);TSLP (96)	  86.58	Immune Response	HHSN272201100017C 	19.0	White;Unknown;Other;Black or African American	61	2015-12-14	Aging leads to dysregulation of multiple components of the immune system that result in increased susceptibility to infections and poor response to vaccines in the aging population. The dysfunctions of adaptive B and T cells are well documented but the effect of aging on innate immunity remains incompletely understood. Using a heterogeneous population of peripheral blood mononuclear cells (PBMCs), we first undertook transcriptional profiling and found that PBMCs isolated from old individuals (>= 65 yrs) exhibited a delayed and altered response to stimulation with TLR4, TLR7/8, and RIG-I agonists compared to cells obtained from adults (<= 40 yrs). This delayed response to innate immune agonists resulted in the reduced production of pro-inflammatory and antiviral cytokines and chemokines including TNFa, IL-6, IL-1b, IFNg, IFNa, CCL2 and CCL7. While the major monocyte and dendritic cell subsets did not change numerically with aging, activation of specific cell types was altered. PBMCs from old subjects also had a lower frequency of CD40+ monocytes, impaired up-regulation of PD-L1 on monocytes and T cells and increased expression of PD-L2 and B7-H4 on B cells. The defective immune response to innate agonists adversely affected adaptive immunity as TLR-stimulated PBMCs (minus CD3 T cells) from old subjects elicited significantly lower levels of adult T cell proliferation than those from adult subjects in an allogeneic mixed lymphocyte reaction (MLR). Collectively, these age-associated changes in cytokine, chemokine and interferon production, as well as co-stimulatory protein expression could contribute to the blunted memory B and T cell immune responses to vaccines and infections.	Serum;PBMC;Whole blood	SDY736 (41)	86.58	SDY720	Immunological basis of age-related vulnerability in biodefense and emerging infections SP2 UAz	Elias Haddad: Drexel University College of Medicine	Homo sapiens	DR16	Aging	N		Years	ELISA;Flow Cytometry;Luminex xMAP;Transcription profiling by array	21.36	10.21430/M3FZ2BAZSA
N	Female;Male	Hispanic or Latino;Not Hispanic or Latino	Systems Biology of 2010 trivalent Influenza vaccine (TIV) in young and elderly (see companion study SDY61 2007, SDY270 2009, SDY119 2011)	18.0	Human Immunology Project Consortium (HIPC) RFA-AI-14-007, RFA-AI-09-040	DR44	Healthy adults 25-40 years old receiving TIV flu vaccine;Healthy adults >65 years old receiving TIV flu vaccine		Flow Cytometry (745);Hemagglutination Inhibition (324);Luminex xMAP (240);microRNA profiling assay (288);Transcription profiling by array (365)		26682988	25.0-85.0	7	ARM442;ARM443	  25.00	N	2022-06-22	Female, Male	B7-2 (602);BDCA1 (301);CCR5 (301);CCR7 (301);CD11b (301);CD11c (301);CD123 (301);CD14 (602);CD16 (602);CD19 (745);CD20 (444);CD27 (143);CD3 (745);CD38 (143);CD4 (301);CD56 (602);CD69 (301);HLADR (602)	  85.00	Vaccine Response	AI090023	44.0	White;Black or African American;Asian	70	2016-03-18	Single center, open label study in which adult healthy volunteers with no contraindications to immunization will be vaccinated with TIV. Blood samples will be collected on Days D0 (at enrollment) and D1, D3, D7, D14, D30, D180 post vaccination to study innate and/or adaptive immunity markers. Even though influenza vaccination is considered safe, volunteers will be asked to report any local or systemic AEs from Day 0 (vaccination) to Day 7 in memory aids. Reactogenicity events will also be evaluated by injection site examination on visits at D0, D1, D3 and D7. Volunteers will be also asked to report local and systemic AEs developing the day of a blood draw.	PBMC;Plasma;Whole blood		85.0	SDY56	Systems Biological Analysis of Innate and Adaptive Responses to Vaccination RFA-AI-14-007	Bali Pulendran: Emory University;Nadine Rouphael: Emory University;Aneesh Mehta: Emory University	Homo sapiens	DR18	influenza;Aging	N		Years	Transcription profiling by array;microRNA profiling assay;Flow Cytometry;Luminex xMAP;Hemagglutination Inhibition	25.0	10.21430/M3X9SKF8RQ
N			IgG-like bispecific antibodies with potent and synergistic neutralization against circulating SARS-CoV-2 variants of concern	51.0	SeroNet	DR51	BALB/c mice;Syrian golden hamsters;Peripheral B cells;Control group of hamsters		Bio-layer Interferometry Assay (0);Cryo-Electron Microscopy (0);ELISA (0);Flow Cytometry (0);Histopathology (0);Microscopy (0);Plaque Reduction Neutralization Assay (0);Pseudovirus Neutralization Assay (0);Virus Plaque Assay (0);Western Blot (0)		36192374	0.0-89.0	5	ARM8875;ARM8877;ARM8874;ARM8876	0	N	2024-03-28			89	Immune Response	U54CA260543	51.0			2024-03-28	To investigate the evidence for therapeutic efficacy of the bispecific antibodies scFv-Fc Ab 2-7/Ab 12 which serves as a foundation for the future development of broadly reactive bispecific antibodies against emerging variants of concern.			89.0	SDY2577	North Carolina Seronet Center for Excellence	Galit Alter: Ragon Institute of Mgh, Mit And Harvard;Ralph Baric: University of North Carolina at Chapel Hill		DR51	COVID-19	N		Years	Western Blot;Microscopy;Pseudovirus Neutralization Assay;Bio-layer Interferometry Assay;ELISA;Cryo-Electron Microscopy;Flow Cytometry;Histopathology;Plaque Reduction Neutralization Assay;Virus Plaque Assay	0.0	10.21430/m35znooxj1
N	Female;Male	Hispanic or Latino;Not Hispanic or Latino	Responses to Influenza Vaccination in Systemic Lupus Year 4 2008-2009	2.0	Immune Function and Biodefense in Children, Elderly, and Immunocompromised Populations	DR52.1	Healthy control subjects;SLE case subjects	Immunology Test (1642)	ELISA (138);ELISPOT (276);Flow Cytometry (2440);Hemagglutination Inhibition (207);Western Blot (43)		21598235	15.0-69.0	4	ARM850;ARM849	  15.00	Y	2024-07-25	Female, Male	CD3 (124)	  69.00	Vaccine Response	AI050026	52.1	Other;Black or African American;Asian;White	69	2013-06-12	Compare the major components of the normal immune response to flu vaccination in SLE patients and control subjects in order to identify abnormalities in SLE group of immunocompromised individuals.	PBMC;Other;Serum;Not Specified	SDY197 (24);SDY198 (33);SDY196 (12);SDY201 (16);SDY200 (27)	69.0	SDY199	Responses to Influenza Vaccination in Systemic Lupus	Linda Thompson: Oklahoma Medical Research Foundation (OMRF)	Homo sapiens	DR2	influenza;systemic lupus erythematosus	Y	Medical History (1932);SLE Panel (512)	Years	Western Blot;ELISPOT;ELISA;Flow Cytometry;Hemagglutination Inhibition	15.0	10.21430/M39YLN3479
N			Vaccines elicit highly conserved cellular immunity to SARS-CoV-2 Omicron	51.0	SeroNet	DR51	BNT162b2 vaccine group;Ad26.COV2.S vaccine group		ELISA (0);ELISPOT (0);Flow Cytometry (0);Pseudovirus Neutralization Assay (0)	https://clinicaltrials.gov/ct2/show/NCT04436276?cond=NCT04436276&draw=2&rank=1	35102312	22.0-67.0	2	ARM8738;ARM8739	22	N	2024-03-28			67	Vaccine Response	U01CA260476	51.0			2024-03-28	To evaluate the cross-reactivity of vaccine-elicited cellular immune responses against the SARS-CoV-2 Omicron variant.			67.0	SDY2559	Immunologic Signatures of SARS-CoV-2 Vaccination and Disease	Abishek Chandrashekar: Beth Israel Deaconess Medical Center - Harvard Medical School;Ai-ris Collier: Beth Israel Deaconess Medical Center - Harvard Medical School;Dan Barouch: Beth Israel Deaconess Medical Center - Harvard Medical School		DR51	COVID-19	N		Years	ELISA;Flow Cytometry;ELISPOT;Pseudovirus Neutralization Assay	22.0	10.21430/m32bp19s8x
