Laser,Filter,RAB,MFITarget,rCVSpec,GainChangeSpec,SensitivitySepc,CytekAssaySetting
Blue,488/10,40000,2000000,6,100,150,2000000
Blue,488/15,40000,2000000,8,100,150,2000000
Blue,508/20,83147,128696,6,100,150,128696
Blue,525/17,78397,122606,6,100,150,122606
Blue,542/17,53561,226450,6,100,150,226450
Blue,581/19,65478,358902,6,100,150,358902
Blue,598/20,95151,524201,6,100,150,524201
Blue,615/20,141237,649466,6,100,150,649466
Blue,661/17,167556,451832,6,100,150,451832
Blue,679/18,172730,344348,6,100,150,344348
Blue,697/19,172654,291229,6,100,150,291229
Blue,717/20,190588,160447,6,100,150,160447
Blue,738/21,238281,123075,6,100,150,123075
Blue,760/23,323324,133136,6,100,150,133136
Blue,783/23,389137,108967,6,100,150,108967
Blue,812/34,476045,133165,6,100,150,133165
Blue,843/30,438445,23194,6,100,150,23194
Blue,871/25,460913,26445,6,100,150,26445
Blue,857/30,40000,1000,6,100,150,1000
Blue,875/50,40000,1000,6,100,150,1000
Red,660/15,40000,2000000,6,100,150,2000000
Red,661/17,81544,386758,6,100,150,386758
Red,679/18,69167,612170,6,100,150,612170
Red,697/19,72839,508997,6,100,150,508997
Red,717/20,88918,389047,6,100,150,389047
Red,738/21,112824,406662,6,100,150,406662
Red,760/23,141000,379227,6,100,150,379227
Red,783/23,191798,394842,6,100,150,394842
Red,812/34,236748,211415,6,100,150,211415
Red,843/30,166431,51340,6,100,150,51340
Red,871/25,165539,60930,6,100,150,60930
Red,857/30,40000,5000,6,100,150,5000
Red,875/50,40000,5000,6,100,150,5000
Violet,405/10,40000,2000000,8,100,150,2000000
Violet,405/15,40000,2000000,8,100,150,2000000
Violet,428/15,98903,464066,6,100,150,464066
Violet,443/15,99370,1096751,6,100,150,1096751
Violet,458/15,98519,1291737,6,100,150,1291737
Violet,473/15,98367,1306897,6,100,150,1306897
Violet,508/20,98835,1244056,6,100,150,1244056
Violet,525/17,100762,907372,6,100,150,907372
Violet,542/17,103138,988963,6,100,150,988963
Violet,581/19,140591,819216,6,100,150,819216
Violet,598/20,231707,950369,6,100,150,950369
Violet,615/20,425213,1574669,6,100,150,1574669
Violet,664/27,443408,731825,6,100,150,731825
Violet,692/28,419264,369636,6,100,150,369636
Violet,720/29,489490,287539,6,100,150,287539
Violet,750/30,697520,320533,6,100,150,320533
Violet,780/30,1031453,305070,6,100,150,305070
Violet,812/34,1438876,170125,6,100,150,170125
YellowGreen,561/10,40000,2000000,8,100,150,2000000
YellowGreen,561/15,40000,2000000,8,100,150,2000000
YellowGreen,577/20,97803,476912,6,100,150,476912
YellowGreen,598/20,210053,1327642,6,100,150,1327642
YellowGreen,615/20,254164,2067560,6,100,150,2067560
YellowGreen,661/17,219135,1170058,6,100,150,1170058
YellowGreen,679/18,186817,847369,6,100,150,847369
YellowGreen,697/19,181010,557726,6,100,150,557726
YellowGreen,720/29,202195,583776,6,100,150,583776
YellowGreen,750/30,240994,335128,6,100,150,335128
YellowGreen,780/30,309827,269431,6,100,150,269431
YellowGreen,812/34,400366,159252,6,100,150,159252
UV,355/10,40000,2000000,8,100,150,2000000
UV,355/15,40000,2000000,8,100,150,2000000
UV,373/15,38022,9031,6,100,150,9031
UV,388/15,38212,77188,6,100,150,77188
UV,428/15,37973,195559,6,100,150,195559
UV,443/15,37892,241564,6,100,150,241564
UV,458/15,37742,350057,6,100,150,350057
UV,473/15,37522,576902,6,100,150,576902
UV,514/28,37240,863035,6,100,150,863035
UV,542/28,37158,479344,6,100,150,479344
UV,582/31,38838,558301,6,100,150,558301
UV,613/31,41216,628539,6,100,150,628539
UV,664/27,41682,311569,6,100,150,311569
UV,692/28,40599,153263,6,100,150,153263
UV,720/29,41362,111676,6,100,150,111676
UV,750/30,43576,159050,6,100,150,159050
UV,780/30,45690,126791,6,100,150,126791
UV,812/34,46891,104333,6,100,150,104333
