DailyQCReport_U1368_20250414_132438


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,377,-17,-4.314721,1956.758,2.083775,1914.273
Violet,SSC,149,4,2.758621,2015.317,4.1896,11249.48
Blue,SSC-B,142,12,9.230769,1995.809,2.716309,11776.09
UV,UV1 (373),1019,107,11.73246,301.965,3.12518,47.27223
UV,UV2 (388),285,30,11.76471,2017.299,1.423042,436.3988
UV,UV3 (428),221,17,8.333334,1542.994,1.426634,1368.749
UV,UV4 (443),166,19,12.92517,1237.037,1.624017,1777.961
UV,UV5 (458),207,19,10.10638,1221.594,1.83237,2609.941
UV,UV6 (473),253,25,10.96491,1550.989,1.837005,4116.505
UV,UV7 (514),400,41,11.42061,1716.659,1.899677,6272.895
UV,UV8 (542),311,25,8.741259,1034.138,1.904596,3651.527
UV,UV9 (582),375,29,8.381503,1366.53,1.811902,2697.288
UV,UV10 (613),264,22,9.090909,1244.045,1.596656,3561.085
UV,UV11 (664),314,16,5.369128,586.147,1.585282,1741.852
UV,UV12 (692),300,17,6.007067,498.563,1.609072,1003.419
UV,UV13 (720),438,31,7.616708,545.76,1.694299,970.7153
UV,UV14 (750),747,53,7.636888,658.4,1.845258,1267.837
UV,UV15 (780),610,47,8.348135,606.356,1.812961,802.2838
UV,UV16 (812),952,214,28.99729,861.825,2.579577,529.7836
Violet,V1 (428),135,8,6.299212,598.767,1.839251,1307.165
Violet,V2 (443),249,17,7.327586,1269.968,1.729748,3222.816
Violet,V3 (458),224,14,6.666667,1382.877,1.593661,3565.981
Violet,V4 (473),150,11,7.913669,1239.165,1.617792,3596.133
Violet,V5 (508),178,14,8.536586,1078.145,1.563797,3854.813
Violet,V6 (525),180,10,5.882353,765.839,1.584231,2531.537
Violet,V7 (542),237,13,5.803571,902.493,1.587297,2821.276
Violet,V8 (581),293,12,4.270463,769.698,1.712059,1472.014
Violet,V9 (598),266,16,6.4,778.494,1.677662,1229.211
Violet,V10 (615),295,13,4.609929,1176.617,1.729235,1022.368
Violet,V11 (664),213,-3,-1.388889,516.037,2.22669,468.8422
Violet,V12 (692),179,-2,-1.104972,461.287,2.40828,266.2875
Violet,V13 (720),175,2,1.156069,525.077,2.421246,153.5096
Violet,V14 (750),238,3,1.276596,467.415,2.504994,124.2301
Violet,V15 (780),430,23,5.651105,501.843,2.834369,77.05814
Violet,V16 (812),385,96,33.21799,574.843,3.628375,31.69741
Blue,B1 (508),547,-10,-1.795332,143.46,2.125094,416.3818
Blue,B2 (525),338,0,0,179.641,1.865513,419.1594
Blue,B3 (542),337,0,0,546.724,1.931148,1177.459
Blue,B4 (581),312,-5,-1.577287,742.101,1.89598,1378.991
Blue,B5 (598),235,-1,-0.4237288,878.097,2.14929,1423.949
Blue,B6 (615),233,2,0.8658009,941.719,2.359019,1130.549
Blue,B7 (661),477,-18,-3.636364,567.493,2.500859,544.3105
Blue,B8 (679),333,-13,-3.757225,491.791,2.796964,531.0228
Blue,B9 (697),456,-9,-1.935484,606.684,2.880265,438.1288
Blue,B10 (717),417,-5,-1.184834,418.277,3.012276,218.837
Blue,B11 (738),289,-4,-1.365188,277.479,3.10254,133.7751
Blue,B12 (760),281,-4,-1.403509,276.304,3.129673,112.5717
Blue,B13 (783),438,7,1.62413,256.062,3.279902,74.04162
Blue,B14 (812),637,123,23.92996,550.169,3.459762,74.27277
YellowGreen,YG1 (577),413,10,2.48139,923.58,1.182308,1303.653
YellowGreen,YG2 (598),410,15,3.797468,1833.672,1.399733,1372.306
YellowGreen,YG3 (615),262,8,3.149606,2694.743,1.405834,2037.082
YellowGreen,YG4 (661),462,-9,-1.910828,1527.198,1.460968,1412.541
YellowGreen,YG5 (679),364,-12,-3.191489,1347.909,1.74029,1329.959
YellowGreen,YG6 (697),450,-2,-0.4424779,1530.357,1.557329,765.6619
YellowGreen,YG7 (720),301,-3,-0.986842,2101.267,1.66241,844.746
YellowGreen,YG8 (750),275,-1,-0.3623188,1093.167,1.774082,425.025
YellowGreen,YG9 (780),373,7,1.912568,1047.523,1.709468,243.6211
YellowGreen,YG10 (812),462,84,22.22222,1207.234,2.162691,105.4553
Red,R1 (661),127,-21,-14.18919,415.417,1.853562,1131.767
Red,R2 (679),135,-16,-10.59603,1093.882,2.128014,1849.592
Red,R3 (697),203,-11,-5.140187,2056.486,1.76738,1655.594
Red,R4 (717),203,-5,-2.403846,1975.602,1.824579,912.0056
Red,R5 (738),158,-4,-2.469136,1644.303,1.863703,1115.691
Red,R6 (760),148,-2,-1.333333,1450.502,1.854979,763.4274
Red,R7 (783),268,6,2.290076,1911.068,1.865427,625.1752
Red,R8 (812),221,49,28.48837,2142.193,1.961251,260.9707


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-39.675,1.116655,51.37
Violet,-19.625,1.09388,93.205
Blue,0,1.172087,82.42751
Red,20.1,1.04626,74.564
UV,39.55,1.108637,0
FSC Area Scaling Factor,1.18529,Window Extension,3
Flow Rate,14.49
Temperature,27.12
