DailyQCReport_R0026_20250414_130948


Configuration Name,3-Laser-V16-B14-R8
Serial Number,R0026
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,445,21,4.95283,2045.374,1.968786,2208.408
Violet,SSC,373,-16,-4.113111,1986.953,3.786588,11118.92
Blue,SSC-B,129,-4,-3.007519,2000.833,4.182266,12169.71
Violet,V1 (428),340,-9,-2.578797,601.0305,3.153799,963.1429
Violet,V2 (443),353,-8,-2.216066,1275.412,2.557455,2178.313
Violet,V3 (458),440,-14,-3.0837,1379.42,2.308328,3067.75
Violet,V4 (473),268,-3,-1.107011,1237.422,2.262506,3568.496
Violet,V5 (508),345,-9,-2.542373,1067.717,2.028463,3763.874
Violet,V6 (525),303,-6,-1.941748,762.2385,2.005616,2646.265
Violet,V7 (542),403,-16,-3.818616,898.1205,1.834918,2891.577
Violet,V8 (581),707,-33,-4.459459,769.203,1.746875,1663.34
Violet,V9 (598),589,-10,-1.669449,773.7295,1.433386,1330.09
Violet,V10 (615),466,4,0.8658009,1182.052,1.489995,1125.094
Violet,V11 (664),350,-34,-8.854166,521.697,1.666703,524.592
Violet,V12 (692),307,-27,-8.083832,452.7805,1.755333,249.8456
Violet,V13 (720),319,-23,-6.725146,522.6195,1.857122,171.4087
Violet,V14 (750),502,-34,-6.343284,468.906,2.083297,128.8867
Violet,V15 (780),590,-24,-3.908795,499.6205,2.469413,87.41728
Violet,V16 (812),624,116,22.83464,580.261,3.218859,34.40314
Blue,B1 (508),621,-23,-3.571429,142.3765,2.11002,383.1611
Blue,B2 (525),366,-9,-2.4,179.79,1.673666,406.7697
Blue,B3 (542),378,-15,-3.816794,542.7065,1.689772,1148.913
Blue,B4 (581),371,-6,-1.591512,743.9145,1.618804,1373.042
Blue,B5 (598),311,-6,-1.892745,879.5165,1.96372,1406.648
Blue,B6 (615),225,-4,-1.746725,927.9355,2.047293,1251.781
Blue,B7 (661),400,-23,-5.437352,571.966,1.813523,723.756
Blue,B8 (679),342,-27,-7.317073,489.7495,2.092589,483.2396
Blue,B9 (697),461,-32,-6.490872,605.1865,1.970536,455.5206
Blue,B10 (717),350,-19,-5.149052,417.2005,1.940561,221.0687
Blue,B11 (738),270,-16,-5.594406,277.6185,1.911868,149.1544
Blue,B12 (760),384,-18,-4.477612,276.3285,1.69258,118.1882
Blue,B13 (783),465,-6,-1.273885,255.2775,1.791142,80.64225
Blue,B14 (812),640,108,20.30075,551.1255,1.870109,81.04654
Red,R1 (661),192,-52,-21.31148,417.0945,2.534688,1504.521
Red,R2 (679),254,-46,-15.33333,1108.999,2.81779,2861.518
Red,R3 (697),345,-33,-8.730159,2050.617,2.632843,2087.096
Red,R4 (717),335,-16,-4.558404,1978.901,2.835187,1470.383
Red,R5 (738),337,-27,-7.417583,1650.618,3.136729,1227.535
Red,R6 (760),348,-25,-6.702413,1451.877,3.359673,812.759
Red,R7 (783),834,-122,-12.76151,1913.526,3.685147,629.4941
Red,R8 (812),505,101,25,2102.813,3.964949,263.0069


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-27.375,1.033984,0
Blue,0,1.172043,0
Red,27.35,1.010336,0
FSC Area Scaling Factor,1.185378,Window Extension,2
Flow Rate,18.03
Temperature,23.75
