DailyQCReport_U0321SP_20260126_125159


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,182,8,4.597701,2097.262,3.2399,1506.581
Violet,SSC,26,6,30,2013.652,4.893171,12905.85
Blue,SSC-B,83,4,5.063291,1995.624,2.909017,9653.142
UV,UV1 (373),1400,88,6.707317,223.683,4.815357,29.55583
UV,UV2 (388),334,20,6.369427,1332.119,1.618417,349.8573
UV,UV3 (428),607,35,6.118881,1017.286,1.617376,1462.745
UV,UV4 (443),1077,55,5.381605,895.0895,1.881336,1943.811
UV,UV5 (458),638,34,5.629139,956.604,1.764224,2777.234
UV,UV6 (473),454,26,6.074767,1482.707,1.745303,4835.6
UV,UV7 (514),601,34,5.996473,2036.875,1.882087,7066.06
UV,UV8 (542),536,27,5.304519,1529.886,1.780916,4497.525
UV,UV9 (582),616,33,5.660378,2460.169,1.819714,4214.855
UV,UV10 (613),367,18,5.157593,1977.031,1.720615,4438.228
UV,UV11 (664),533,24,4.715128,873.9975,1.798927,1947.778
UV,UV12 (692),428,16,3.883495,663.911,1.878116,1177.304
UV,UV13 (720),804,34,4.415585,695.403,2.067986,1213.121
UV,UV14 (750),1271,51,4.180328,794.69,2.315275,1494.272
UV,UV15 (780),783,37,4.959785,634.509,2.284302,818.1846
UV,UV16 (812),1105,29,2.695167,423.6235,2.621286,607.4454
Violet,V1 (428),216,40,22.72727,797.95,1.949814,1488.787
Violet,V2 (443),293,53,22.08333,1853.182,1.342287,3206.81
Violet,V3 (458),255,46,22.00957,2165.834,1.483366,4224.398
Violet,V4 (473),215,42,24.27746,2195.363,1.691649,3624.791
Violet,V5 (508),202,37,22.42424,2038.41,1.396116,3741.31
Violet,V6 (525),206,36,21.17647,1514.257,1.303689,2833.762
Violet,V7 (542),288,57,24.67533,2052.385,1.410055,3151.517
Violet,V8 (581),479,84,21.26582,2394.205,1.684579,1667.871
Violet,V9 (598),302,53,21.28514,2288.921,1.463478,1230.357
Violet,V10 (615),389,67,20.80745,3306.01,1.403625,1159.046
Violet,V11 (664),333,58,21.09091,1335.193,1.437848,527.4407
Violet,V12 (692),267,44,19.73094,1026.182,1.558979,282.3028
Violet,V13 (720),211,34,19.20904,1106.731,1.507813,189.852
Violet,V14 (750),364,58,18.95425,931.0215,1.417815,166.9686
Violet,V15 (780),444,73,19.67655,816.7285,1.806067,97.94022
Violet,V16 (812),417,71,20.52023,363.431,2.195749,36.60609
Blue,B1 (508),691,30,4.538578,225.7755,1.880048,394.2137
Blue,B2 (525),385,13,3.494624,275.0515,1.675421,366.1989
Blue,B3 (542),396,19,5.039788,1052.418,1.604998,1197.255
Blue,B4 (581),351,23,7.012195,1653.967,1.572383,1261.418
Blue,B5 (598),367,21,6.069364,1833.093,1.495623,1282.351
Blue,B6 (615),240,12,5.263158,1885.407,1.673152,1025.452
Blue,B7 (661),376,17,4.735376,1137.459,1.633678,650.7355
Blue,B8 (679),380,17,4.683196,923.784,1.632383,513.394
Blue,B9 (697),624,15,2.463054,1112.635,1.814914,462.6059
Blue,B10 (717),417,16,3.990025,773.9885,1.835116,209.4852
Blue,B11 (738),247,12,5.106383,507.364,1.962846,133.5394
Blue,B12 (760),339,16,4.95356,490.2295,1.905663,107.9846
Blue,B13 (783),519,35,7.231405,387.7365,2.101522,76.05527
Blue,B14 (812),537,36,7.185629,384.468,2.174181,74.06955
YellowGreen,YG1 (577),343,11,3.313253,1760.969,1.129243,1214.404
YellowGreen,YG2 (598),352,1,0.2849003,2409.751,1.099442,1637.624
YellowGreen,YG3 (615),244,5,2.09205,3270.177,1.226589,2171.102
YellowGreen,YG4 (661),427,8,1.909308,1849.958,1.142187,1481.306
YellowGreen,YG5 (679),344,7,2.077151,1600.848,1.238305,1261.181
YellowGreen,YG6 (697),487,4,0.8281574,1773.01,1.384444,725.4028
YellowGreen,YG7 (720),320,6,1.910828,2390.043,1.376266,711.185
YellowGreen,YG8 (750),275,8,2.996255,1229.215,1.51496,350.8399
YellowGreen,YG9 (780),398,10,2.57732,1041.401,1.494242,222.605
YellowGreen,YG10 (812),402,14,3.608247,569.9705,1.654339,104.0953
Red,R1 (661),220,4,1.851852,385.065,1.63058,1228.985
Red,R2 (679),177,5,2.906977,1084.657,1.677259,2479.025
Red,R3 (697),250,6,2.459016,2007.283,1.692882,2081.813
Red,R4 (717),237,9,3.947368,1937.943,1.608778,1257.14
Red,R5 (738),217,7,3.333333,1621.109,1.707545,947.3995
Red,R6 (760),169,5,3.04878,1404.498,1.716693,681.9275
Red,R7 (783),341,13,3.963415,1585.183,1.748802,569.0016
Red,R8 (812),210,11,5.527638,786.822,1.783643,230.3771


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-37.075,1.198546,1.45
Violet,-18.475,1.078532,11.15
Blue,0,1.269961,1.475
Red,18.425,1.147911,65.12
UV,37,0.992385,0
FSC Area Scaling Factor,1.318245,Window Extension,3
Flow Rate,16.05
Temperature,23.88
