Laser, Filter, RAB, MFITarget, rCVSpec, GainChangeSpec, SensitivitySpec
Blue,488/10,40000,2000000,6,100,150
Blue,508/20,40000,14000,6,100,150
Blue,528/21,40000,40000,6,100,150
Blue,549/22,40000,100000,6,100,150
Blue,571/23,40000,140000,6,100,150
Blue,594/23,40000,130000,6,100,150
Blue,618/24,40000,160000,6,100,150
Blue,660/17,40000,20000,6,100,150
Blue,678/18,40000,50000,6,100,150
Blue,697/19,40000,30000,6,100,150
Blue,717/20,40000,26000,6,100,150
Blue,738/21,40000,16000,6,100,150
Blue,760/23,40000,10000,6,100,150
Blue,783/23,40000,10000,6,100,150
Blue,812/34,40000,5000,6,100,150
Blue,843/30,40000,2000,6,100,150
Blue,857/30,40000,1000,6,100,150
Blue,871/25,40000,2000,6,100,150
Blue,875/50,40000,1000,6,100,150
Red,660/17,40000,100000,6,100,150
Red,678/18,40000,400000,6,100,150
Red,697/19,40000,250000,6,100,150
Red,717/20,40000,160000,6,100,150
Red,738/21,40000,160000,6,100,150
Red,760/23,40000,100000,6,100,150
Red,783/23,40000,80000,6,100,150
Red,812/34,40000,40000,6,100,150
Red,843/30,40000,20000,6,100,150
Red,857/30,40000,5000,6,100,150
Red,871/25,40000,20000,6,100,150
Red,875/50,40000,5000,6,100,150
Violet,405/10,40000,2000000,8,100,150
Violet,428/15,40000,190000,6,100,150
Violet,443/15,40000,200000,6,100,150
Violet,458/15,40000,200000,6,100,150
Violet,473/15,40000,240000,6,100,150
Violet,508/20,40000,300000,6,100,150
Violet,528/21,40000,240000,6,100,150
Violet,549/22,40000,180000,6,100,150
Violet,571/23,40000,120000,6,100,150
Violet,594/23,40000,100000,6,100,150
Violet,618/24,40000,90000,6,100,150
Violet,664/27,40000,70000,6,100,150
Violet,692/28,40000,60000,6,100,150
Violet,720/29,40000,30000,6,100,150
Violet,750/30,40000,20000,6,100,150
Violet,780/30,40000,10000,6,100,150
Violet,812/34,40000,4000,6,100,150
