Laser,Filter,RAB,MFITarget,rCVSpec,GainChangeSpec,SensitivitySepc,CytekAssaySetting
Blue,488/10,40000,2000000,6,100,150,2000000
Blue,488/15,40000,2000000,8,100,150,2000000
Blue,508/20,92469,143125,6,100,150,143125
Blue,525/17,85450,133636,6,100,150,133636
Blue,542/17,65731,277905,6,100,150,277905
Blue,581/19,88920,487394,6,100,150,487394
Blue,598/20,126272,695651,6,100,150,695651
Blue,615/20,191389,880086,6,100,150,880086
Blue,661/17,231171,623376,6,100,150,623376
Blue,679/18,233404,465306,6,100,150,465306
Blue,697/19,233247,393435,6,100,150,393435
Blue,717/20,301187,253555,6,100,150,253555
Blue,738/21,666811,344416,6,100,150,344416
Blue,760/23,1421621,585385,6,100,150,585385
Blue,783/23,2214039,619980,6,100,150,619980
Blue,812/34,3616450,1011637,6,100,150,1011637
Blue,843/30,3343295,176862,6,100,150,176862
Blue,871/25,3529798,202523,6,100,150,202523
Blue,857/30,40000,1000,6,100,150,1000
Blue,875/50,40000,1000,6,100,150,1000
Red,660/15,40000,2000000,6,100,150,2000000
Red,661/17,80773,383102,6,100,150,383102
Red,679/18,59206,524012,6,100,150,524012
Red,697/19,59607,416531,6,100,150,416531
Red,717/20,81134,354991,6,100,150,354991
Red,738/21,181335,653604,6,100,150,653604
Red,760/23,350475,942620,6,100,150,942620
Red,783/23,628154,1293140,6,100,150,1293140
Red,812/34,1047580,935484,6,100,150,935484
Red,843/30,719079,221819,6,100,150,221819
Red,871/25,711253,261791,6,100,150,261791
Red,857/30,40000,5000,6,100,150,5000
Red,875/50,40000,5000,6,100,150,5000
Violet,405/10,40000,2000000,8,100,150,2000000
Violet,405/15,40000,2000000,8,100,150,2000000
Violet,428/15,99667,467651,6,100,150,467651
Violet,443/15,97474,1075825,6,100,150,1075825
Violet,458/15,93786,1229674,6,100,150,1229674
Violet,473/15,90286,1199530,6,100,150,1199530
Violet,508/20,89839,1130824,6,100,150,1130824
Violet,525/17,92124,829587,6,100,150,829587
Violet,542/17,99661,955628,6,100,150,955628
Violet,581/19,175278,1021336,6,100,150,1021336
Violet,598/20,299892,1230038,6,100,150,1230038
Violet,615/20,572093,2118602,6,100,150,2118602
Violet,664/27,613372,1012342,6,100,150,1012342
Violet,692/28,573169,505324,6,100,150,505324
Violet,720/29,850328,499505,6,100,150,499505
Violet,750/30,2717795,1248915,6,100,150,1248915
Violet,780/30,6135800,1814769,6,100,150,1814769
Violet,812/34,11603841,1371976,6,100,150,1371976
YellowGreen,561/10,40000,2000000,8,100,150,2000000
YellowGreen,561/15,40000,2000000,8,100,150,2000000
YellowGreen,577/20,122297,596352,6,100,150,596352
YellowGreen,598/20,222923,1408990,6,100,150,1408990
YellowGreen,615/20,268415,2183490,6,100,150,2183490
YellowGreen,661/17,234629,1252788,6,100,150,1252788
YellowGreen,679/18,194837,883745,6,100,150,883745
YellowGreen,697/19,188774,581649,6,100,150,581649
YellowGreen,720/29,240699,694943,6,100,150,694943
YellowGreen,750/30,590741,821489,6,100,150,821489
YellowGreen,780/30,1223720,1064168,6,100,150,1064168
YellowGreen,812/34,2333969,928374,6,100,150,928374
UV,355/10,40000,2000000,8,100,150,2000000
UV,355/15,40000,2000000,8,100,150,2000000
UV,373/15,467179,110965,6,100,150,110965
UV,388/15,364668,736626,6,100,150,736626
UV,428/15,126407,650992,6,100,150,650992
UV,443/15,91867,585658,6,100,150,585658
UV,458/15,68903,639077,6,100,150,639077
UV,473/15,64181,986791,6,100,150,986791
UV,514/28,60061,1391918,6,100,150,1391918
UV,542/28,65249,841722,6,100,150,841722
UV,582/31,92688,1332404,6,100,150,1332404
UV,613/31,102725,1566545,6,100,150,1566545
UV,664/27,113879,851233,6,100,150,851233
UV,692/28,115233,435010,6,100,150,435010
UV,720/29,151379,408717,6,100,150,408717
UV,750/30,378367,1381019,6,100,150,1381019
UV,780/30,649088,1801236,6,100,150,1801236
UV,812/34,933443,2076920,6,100,150,2076920
