Laser,Filter,RAB,MFITarget,rCVSpec,CytekAssaySetting,CytekAssaySetting_Legacy
Blue,488/10,40000,2000000,6,100000,2000000
Blue,488/15,40000,2000000,8,2000000,2000000
Blue,508/20,146211,226308,6,226308,226308
Blue,525/17,176999,276811,6,276811,276811
Blue,542/17,250181,1057742,6,1057742,1057742
Blue,581/19,300940,1649530,6,1649530,1649530
Blue,598/20,333260,1835983,6,1835983,1835983
Blue,615/20,413029,1899279,6,1899279,1899279
Blue,661/17,421819,1137478,6,1137478,1137478
Blue,679/18,463607,924230,6,924230,924230
Blue,697/19,672377,1134149,6,1134149,1134149
Blue,717/20,917663,772537,6,772537,772537
Blue,738/21,977697,504993,6,504993,504993
Blue,760/23,1189916,489976,6,489976,489976
Blue,783/23,1380448,386556,10,386556,386556
Blue,812/34,1383742,387077,10,387077,387077
Blue,843/30,194398900,10283801,6,10283801,10283801
Blue,871/25,207019702,11877807,6,11877807,11877807
Blue,857/30,40000,1000,6,1000,1000
Blue,875/50,40000,1000,6,1000,1000
Red,660/15,40000,2000000,6,2000000,2000000
Red,661/17,82154,389650,6,389650,389650
Red,679/18,121822,1078206,6,1078206,1078206
Red,697/19,289895,2025767,6,2025767,2025767
Red,717/20,439820,1924374,6,1924374,1924374
Red,738/21,448030,1614881,6,1614881,1614881
Red,760/23,523210,1407199,6,1407199,1407199
Red,783/23,765600,1576090,10,1576090,1576090
Red,812/34,872059,778745,10,778745,778745
Red,843/30,13423374,4140796,6,4140796,4140796
Red,871/25,13130224,4832845,6,4832845,4832845
Red,857/30,40000,5000,6,5000,5000
Red,875/50,40000,5000,6,5000,5000
Violet,405/10,40000,2000000,10.5,2000000,2000000
Violet,405/15,40000,2000000,10.5,1538462,2000000
Violet,428/15,170221,798697,6,798697,798697
Violet,443/15,169007,1865346,6,1865346,1865346
Violet,458/15,164817,2160989,6,2160989,2160989
Violet,473/15,164245,2182136,6,2182136,2182136
Violet,508/20,162957,2051186,6,2051186,2051186
Violet,525/17,168962,1521519,6,1521519,1521519
Violet,542/17,213491,2047124,6,2047124,2047124
Violet,581/19,410323,2390926,6,2390926,2390926
Violet,598/20,559021,2292884,6,2292884,2292884
Violet,615/20,890925,3299321,6,3299321,3299321
Violet,664/27,805842,1330003,6,1330003,1330003
Violet,692/28,1161844,1024318,6,1024318,1024318
Violet,720/29,1874729,1101265,6,1101265,1101265
Violet,750/30,2032903,934186,6,934186,934186
Violet,780/30,2762209,816971,10,816971,816971
Violet,812/34,3060960,361911,10,361911,361911
YellowGreen,561/10,40000,2000000,8,2000000,2000000
YellowGreen,561/15,40000,2000000,8,2000000,2000000
YellowGreen,577/20,358690,1749067,6,1749067,1749067
YellowGreen,598/20,385978,2439583,6,2439583,2439583
YellowGreen,615/20,401934,3269640,6,3269640,3269640
YellowGreen,661/17,347021,1852899,6,1852899,1852899
YellowGreen,679/18,352145,1597264,6,1597264,1597264
YellowGreen,697/19,575882,1774405,6,1774405,1774405
YellowGreen,720/29,830897,2398956,6,2398956,2398956
YellowGreen,750/30,884337,1229765,6,1229765,1229765
YellowGreen,780/30,1195919,1039992,10,1039992,1039992
YellowGreen,812/34,1433266,570105,10,570105,570105
UV,355/10,40000,2000000,8,2000000,2000000
UV,355/15,40000,2000000,8,2000000,2000000
UV,373/15,942964,447948,6,447948,223974
UV,388/15,658501,1330166,6,1330166,1330166
UV,428/15,196729,1013148,6,1013148,1013148
UV,443/15,139079,886635,6,886635,886635
UV,458/15,103147,956690,6,956690,956690
UV,473/15,95718,1471670,6,1471670,1471670
UV,514/28,87622,2030636,6,2030636,2030636
UV,542/28,119156,1537135,6,1537135,1537135
UV,582/31,171470,2464914,6,2464914,2464914
UV,613/31,128346,1957252,6,1957252,1957252
UV,664/27,115739,865137,6,865137,865137
UV,692/28,175001,660636,6,660636,660636
UV,720/29,257261,694593,6,694593,694593
UV,750/30,218914,799024,6,799024,799024
UV,780/30,227976,632641,10,632641,632641
UV,812/34,190132,423046,10,423046,423046
