"fluor","peak","MEF"
"Cascade Blue",2,165.316002550936
"Cascade Blue",3,391.151833137835
"Cascade Blue",4,1080.83492610524
"Cascade Blue",5,3092.56508020004
"Cascade Blue",6,8463.60577388398
"Cascade Blue",7,21479.7544911285
"Cascade Blue",8,41933.8895998404
"Blue Fluorescent Protein",2,593.758235408849
"Blue Fluorescent Protein",3,1793.70912351261
"Blue Fluorescent Protein",4,5684.56701129297
"Blue Fluorescent Protein",5,18013.6495906827
"Blue Fluorescent Protein",6,56908.2690890844
"Blue Fluorescent Protein",7,177235.566376891
"Blue Fluorescent Protein",8,482872.593173192
"FITC",2,653.961047300832
"FITC",3,1957.01609253218
"FITC",4,5870.59284644544
"FITC",5,17209.1788317295
"FITC",6,49887.3691515088
"FITC",7,135491.798041011
"FITC",8,291041.740879689
"PE",2,593.546395242294
"PE",3,1448.20635646337
"PE",4,4135.6799615239
"PE",5,12439.4388439033
"PE",6,38053.0598308732
"PE",7,112903.931898257
"PE",8,300942.438894712
"EDC",2,217.015116471855
"EDC",3,693.123585471758
"EDC",4,2248.70403519724
"EDC",5,7122.29667123432
"EDC",6,22552.0036049366
"EDC",7,69442.2277432186
"EDC",8,198674.394519582
"PE-Cy5",2,991.397723988996
"PE-Cy5",3,3099.52922844563
"PE-Cy5",4,9487.54124320036
"PE-Cy5",5,28753.8326286762
"PE-Cy5",6,88755.512685097
"PE-Cy5",7,278819.240713607
"PE-Cy5",8,862971.005842681
"PE-Cy7",5,10809.3454396854
"PE-Cy7",6,37825.9120470038
"PE-Cy7",7,144182.183021708
"PE-Cy7",8,670996.076569949
"APC",2,228.987841250892
"APC",3,676.149050696368
"APC",4,2015.68288301588
"APC",5,6017.90896634237
"APC",6,18155.1156067792
"APC",7,53930.4309167899
"APC",8,115019.988573154
"APC-Cy7",2,108.632464847652
"APC-Cy7",3,321.349389667999
"APC-Cy7",4,809.173821239983
"APC-Cy7",5,2080.38413493545
"APC-Cy7",6,5514.5439471483
"APC-Cy7",7,14975.9370583579
"APC-Cy7",8,41463.6557851223
