fluor,peak,MEF
APC,2,972.3145244139765
APC,3,6176.246407888094
APC,4,15895.658518507098
APC,5,39172.833914281335
APC,6,101878.38156399464
APC-Cy7,2,1150.1237639523677
APC-Cy7,3,9308.633812920567
APC-Cy7,4,26606.918150479905
APC-Cy7,5,74102.6197576914
APC-Cy7,6,242952.09233069888
Alexa700,2,5019.707385026639
Alexa700,3,42083.78103146165
Alexa700,4,123070.63641388206
Alexa700,5,350629.63911998743
Alexa700,6,1179835.5744597141
BUV395,2,690.2827100712174
BUV395,3,3222.970053057008
BUV395,4,7081.248203157328
BUV395,5,14943.215955957694
BUV395,6,26606.50268788244
BUV737,2,150.41978792414557
BUV737,3,712.6773153502264
BUV737,4,1813.259902100202
BUV737,5,5631.330405313959
BUV737,6,25698.980325754706
BV421,2,520.3384380401193
BV421,3,2042.1819319755682
BV421,4,4816.080182821701
BV421,5,11520.188317548089
BV421,6,24400.96567547146
BV510,2,1118.0334243299897
BV510,3,4628.243995117732
BV510,4,11342.090276817833
BV510,5,28335.552146200007
BV510,6,62524.47225131969
BV605,2,895.7974126546906
BV605,3,2782.3448849551824
BV605,4,6694.5659813560105
BV605,5,19455.386196217074
BV605,6,58083.66632553325
BV650,3,2598.967578641291
BV650,4,6220.629113607061
BV650,5,17485.09769998539
BV650,6,56526.534270030446
BV711,2,574.2429243277811
BV711,3,2510.8748061973192
BV711,4,5805.240572515877
BV711,5,14832.55625658698
BV711,6,50730.69471647911
BV786,2,561.2904689045695
BV786,3,2395.475572253038
BV786,4,5611.081836856954
BV786,5,14232.487924163275
BV786,6,49445.373929277426
FITC,2,3604.309748796852
FITC,3,32374.82620456059
FITC,4,93911.85300681014
FITC,5,251415.03361576842
FITC,6,521376.5685922556
PE,2,2839.560768089992
PE,3,22333.49964950902
PE,4,63637.13197029624
PE,5,170589.67580348073
PE,6,354374.24541015766
PE-Cy5(488),2,16205.69244524688
PE-Cy5(488),3,206644.23273413526
PE-Cy5(488),4,783444.3930037579
PE-Cy5(488),5,3337040.933555658
PE-Cy5(488),6,17414207.40728669
PE-Cy5(561),2,13403.812394760093
PE-Cy5(561),3,231650.8367195471
PE-Cy5(561),4,951232.5654783979
PE-Cy5(561),5,3804381.656692828
PE-Cy5(561),6,13568483.225392675
PE-Cy5.5,2,5543.5231591616175
PE-Cy5.5,3,30042.004884964706
PE-Cy5.5,4,72049.5763885399
PE-Cy5.5,5,180079.96064648777
PE-Cy5.5,6,522212.79912796774
PE-Cy7,3,13783.070059223879
PE-Cy7,4,51659.52234670163
PE-Cy7,5,213645.6083329458
PE-Cy7,6,1256155.8044093987
PE-TexasRed(488),2,6418
PE-TexasRed(488),3,55448
PE-TexasRed(488),4,161385
PE-TexasRed(488),5,461799
PE-TexasRed(488),6,1110176
PE-TexasRed(561),2,6110.847947058274
PE-TexasRed(561),3,56185.84399489505
PE-TexasRed(561),4,165387.32733870743
PE-TexasRed(561),5,462225.14365675434
PE-TexasRed(561),6,1030807.7418238585
PerCP-Cy5.5,2,485.71434241290024
PerCP-Cy5.5,3,2638.7976678595223
PerCP-Cy5.5,4,6441.374777225754
PerCP-Cy5.5,5,17231.09471948193
PerCP-Cy5.5,6,54312.15957745783
